epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.013,0.67515,0.81409,0.90151,0.00247,0.272,0.00174,0.00027,4.01673,871.82,15.4257,0.0704918,0.00327869,0.00327869
2,301.194,0.6542,0.55742,0.93026,0.56778,0.36,0.36788,0.29113,1.29862,3.56211,1.63955,0.0404263,0.00654656,0.00654656
3,457.832,0.65182,0.52046,0.92473,0.28476,0.608,0.19833,0.16323,0.72737,3.54813,1.87062,0.0102949,0.00974844,0.00974844
4,607.576,0.59797,0.49338,0.90163,0.9263,0.80443,0.88673,0.77776,0.59912,0.80024,0.92634,0.009703,0.009703,0.009703
5,754.027,0.54828,0.43598,0.88493,1,0.99119,0.995,0.89075,0.47557,0.52883,0.84242,0.009604,0.009604,0.009604
6,904.033,0.52386,0.43084,0.87817,0.98291,0.704,0.7144,0.63379,0.49437,1.55437,0.86162,0.009505,0.009505,0.009505
7,1040.62,0.48228,0.38957,0.84668,0.9907,1,0.99492,0.91078,0.44049,0.39196,0.83711,0.009406,0.009406,0.009406
8,1168.11,0.47477,0.39211,0.83281,0.99047,0.984,0.99384,0.94024,0.3669,0.3581,0.83407,0.009307,0.009307,0.009307
9,1290.25,0.44836,0.36265,0.83806,0.99832,1,0.995,0.93305,0.41073,0.34207,0.82913,0.009208,0.009208,0.009208
10,1405.83,0.44477,0.35894,0.84568,0.996,1,0.995,0.92801,0.4068,0.31655,0.83143,0.009109,0.009109,0.009109
11,1531.08,0.46053,0.35327,0.85843,0.99496,1,0.995,0.92788,0.37561,0.32856,0.81504,0.00901,0.00901,0.00901
12,1640.52,0.4131,0.33395,0.85329,0.99905,1,0.995,0.95056,0.35506,0.28825,0.81135,0.008911,0.008911,0.008911
13,1755.35,0.40211,0.3148,0.82398,0.99921,1,0.995,0.96544,0.3331,0.27967,0.80419,0.008812,0.008812,0.008812
14,1879.34,0.36633,0.31356,0.83604,0.99959,1,0.995,0.9598,0.30566,0.26744,0.8006,0.008713,0.008713,0.008713
15,1999.55,0.37272,0.32065,0.82505,0.99783,1,0.995,0.96495,0.33874,0.32902,0.81521,0.008614,0.008614,0.008614
16,2378.97,0.37258,0.30477,0.83173,0.9982,1,0.995,0.97425,0.29585,0.25532,0.79553,0.008515,0.008515,0.008515
17,2489.68,0.3485,0.28734,0.81663,0.9999,1,0.995,0.96534,0.2849,0.25908,0.80213,0.008416,0.008416,0.008416
18,2601.06,0.36128,0.28173,0.82108,0.99932,1,0.995,0.97038,0.29171,0.25026,0.80203,0.008317,0.008317,0.008317
19,2704.29,0.35585,0.29987,0.82161,0.99895,1,0.995,0.96913,0.31897,0.27711,0.79855,0.008218,0.008218,0.008218
20,2818.72,0.34932,0.28598,0.82223,0.99787,1,0.995,0.97015,0.2864,0.26348,0.79014,0.008119,0.008119,0.008119
21,2918.09,0.33551,0.27366,0.82113,0.99936,1,0.995,0.97184,0.27573,0.23749,0.78883,0.00802,0.00802,0.00802
22,3018.84,0.34071,0.27305,0.81261,0.99952,1,0.995,0.97403,0.29242,0.2512,0.79162,0.007921,0.007921,0.007921
23,3121.55,0.35387,0.29715,0.81396,0.99955,1,0.995,0.97204,0.29509,0.2432,0.791,0.007822,0.007822,0.007822
24,3225.43,0.33669,0.27586,0.8142,0.99935,1,0.995,0.97613,0.28324,0.23422,0.79007,0.007723,0.007723,0.007723
25,3920.68,0.31769,0.25113,0.80529,0.99961,1,0.995,0.98292,0.25993,0.21378,0.7873,0.007624,0.007624,0.007624
26,4024.13,0.32159,0.26164,0.81595,0.99919,1,0.995,0.97925,0.25419,0.21845,0.78269,0.007525,0.007525,0.007525
27,4124.76,0.32115,0.25031,0.81975,0.99923,1,0.995,0.97738,0.2699,0.21076,0.78545,0.007426,0.007426,0.007426
28,4225.54,0.31678,0.2488,0.80535,0.99948,1,0.995,0.96769,0.27756,0.22086,0.78618,0.007327,0.007327,0.007327
29,4323.97,0.31305,0.24308,0.80395,0.99921,1,0.995,0.98291,0.23434,0.19836,0.78207,0.007228,0.007228,0.007228
30,4422.79,0.31187,0.24536,0.81534,0.9995,1,0.995,0.98128,0.25531,0.19993,0.78294,0.007129,0.007129,0.007129
31,4534.73,0.32527,0.25928,0.80926,0.96855,0.98563,0.99421,0.94108,0.33705,0.30874,0.8168,0.00703,0.00703,0.00703
32,5185.76,0.34693,0.28142,0.81083,0.99952,1,0.995,0.97644,0.30241,0.22787,0.78648,0.006931,0.006931,0.006931
33,5282.09,0.31266,0.24928,0.81389,0.99902,1,0.995,0.98398,0.24675,0.22381,0.78146,0.006832,0.006832,0.006832
34,5380.34,0.31967,0.23987,0.80188,0.99897,1,0.995,0.97388,0.26015,0.20317,0.77906,0.006733,0.006733,0.006733
35,5478.58,0.28703,0.21934,0.79798,0.99947,1,0.995,0.98272,0.23288,0.1824,0.77732,0.006634,0.006634,0.006634
36,7030.26,0.28286,0.21648,0.80034,0.99825,1,0.995,0.9856,0.24781,0.20143,0.77981,0.006535,0.006535,0.006535
37,7121.8,0.30297,0.23294,0.80491,0.99763,1,0.995,0.98676,0.23793,0.19918,0.77953,0.006436,0.006436,0.006436
38,7213.36,0.28885,0.22912,0.79631,0.99935,1,0.995,0.98041,0.25663,0.20868,0.78191,0.006337,0.006337,0.006337
39,7310.77,0.2951,0.23388,0.80062,0.99882,1,0.995,0.97743,0.24383,0.21648,0.77842,0.006238,0.006238,0.006238
40,7408.71,0.28138,0.2249,0.80068,0.99947,1,0.995,0.98653,0.22144,0.18912,0.78269,0.006139,0.006139,0.006139
